"FAAREGION","LONGITUDE","LATITUDE","DAMAGE_RATE","STRIKE_TOTAL","RECENT_5_YEAR_STRIKES","RISK_SCORE","RISK_PROFILE"
"AAL",-147.006833889062,60.6709980464072,0.129707112970711,1673,399,50,"Moderate"
"ACE",-94.1594649194252,39.8044294246111,0.0614769006911604,13745,3541,43.8,"Moderate"
"AEA",-75.7315002497146,40.2034273643015,0.0661388390709068,45722,9383,68.8,"High"
"AGL",-87.2632945045614,42.0874562742201,0.0548045937236412,46237,12607,56.2,"Moderate"
"ANE",-71.4466659090384,42.4009840266111,0.0603171693097442,10909,2938,31.2,"Low"
"ANM",-111.562739225589,42.2059129023005,0.0527873234058801,31428,9434,37.5,"Moderate"
"ASO",-83.4490168966445,32.3625509145837,0.0572121022594011,63955,20993,68.8,"High"
"ASW",-96.5822165492788,31.6439459368788,0.0464112250404749,40766,12552,37.5,"Moderate"
"AWP",-125.084716168443,33.4987736793323,0.0641459425929059,35466,8821,56.2,"Moderate"
