"rank","SPECIES_GROUP","PHASE_GROUP","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
106,"Shorebirds","Departure","Dawn",127,3,0.0236220472440945
107,"Doves & pigeons","Arrival","Dawn",228,5,0.0219298245614035
108,"Other mammals","Ground","Night",46,1,0.0217391304347826
109,"Bats","Arrival","Day",141,3,0.0212765957446809
110,"Other birds","Arrival","Day",1182,25,0.0211505922165821
111,"Other birds","Departure","Day",250,5,0.02
112,"Bats","Departure","Day",64,1,0.015625
113,"Unknown bird","Ground","Day",201,3,0.0149253731343284
114,"Perching birds","Arrival","Day",16982,249,0.0146625839123778
115,"Shorebirds","Arrival","Dawn",141,2,0.0141843971631206
116,"Bats","Arrival","Night",1445,14,0.00968858131487889
117,"Perching birds","Ground","Day",74,0,0
118,"Bats","Arrival","Dusk",69,0,0
119,"Other birds","Arrival","Dusk",69,0,0
120,"Gulls & terns","Ground","Day",51,0,0
121,"Reptiles & amphibians","Arrival","Day",46,0,0
122,"Reptiles & amphibians","Departure","Day",32,0,0
