"SPECIES_GROUP","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Pigeons and doves","Taxi","Dusk",3,0,0
"Water birds","Taxi","Dusk",3,0,0
"Birds of prey","Local","Dusk",2,0,0
"Gulls and shorebirds","Local","Dawn",2,0,0
"Gulls and shorebirds","Local","Dusk",2,0,0
"Non-bird wildlife","Departure","Dawn",2,0,0
"Non-bird wildlife","Departure","Dusk",2,0,0
"Pigeons and doves","Parked","Dusk",2,0,0
"Pigeons and doves","Taxi","Dawn",2,0,0
"Water birds","Taxi","Dawn",2,0,0
"Birds of prey","Arrival","Dusk",1,0,0
"Birds of prey","Descent","Dusk",1,0,0
"Birds of prey","Parked","Night",1,0,0
"Birds of prey","Taxi","Dusk",1,0,0
"Gulls and shorebirds","Arrival","Dawn",1,0,0
"Gulls and shorebirds","Descent","Dawn",1,0,0
"Gulls and shorebirds","Descent","Dusk",1,0,0
"Gulls and shorebirds","Parked","Night",1,0,0
"Gulls and shorebirds","Taxi","Dusk",1,0,0
"Non-bird wildlife","Descent","Dusk",1,0,0
"Non-bird wildlife","Local","Dawn",1,0,0
"Other birds","Parked","Dawn",1,0,0
"Pigeons and doves","Arrival","Dawn",1,0,0
"Pigeons and doves","Parked","Dawn",1,0,0
"Pigeons and doves","Parked","Night",1,0,0
"Water birds","Arrival","Dusk",1,0,0
"Water birds","Departure","Dusk",1,0,0
"Water birds","Local","Dawn",1,0,0
