"PHASE_GROUP","reported_strikes","damaging_strikes","known_damage_outcomes","damage_rate","share_of_reported_strikes","share_percent","damage_rate_percent"
"Landing phases",129231,10029,129231,0.0776052185621097,0.62039615177817,62.039615177817,7.76052185621097
"Takeoff phases",65315,6998,65315,0.107142310342188,0.313556148705738,31.3556148705738,10.7142310342188
"En route",6253,1841,6253,0.294418679034064,0.0300186266226285,3.00186266226285,29.4418679034064
"Other phases",7505,320,7505,0.0426382411725516,0.0360290728934634,3.60290728934634,4.26382411725516
