"column","missing","percent_missing"
"INCIDENT_MONTH",0,0
"INCIDENT_YEAR",0,0
"SPECIES",0,0
"STATE",47746,13.57
"FAAREGION",47746,13.57
"AIRPORT_ID",0,0
"INDICATED_DAMAGE",0,0
"SIZE",40601,11.54
"PHASE_OF_FLIGHT",138761,39.44
"TIME_OF_DAY",153375,43.59
"DAMAGE_LEVEL",123812,35.19
"HEIGHT",177291,50.39
"SPEED",243223,69.12
"AC_MASS",99331,28.23
"NUM_ENGS",99626,28.31
"TYPE_ENG",99653,28.32
"NUM_STRUCK",749,0.21
