"INCIDENT_YEAR","MONTH_NAME","strikes"
2013,"Apr",788
2013,"May",1145
2013,"Jun",1023
2013,"Jul",1454
2013,"Aug",1640
2013,"Sep",1503
2013,"Oct",1534
2013,"Nov",793
2013,"Dec",455
2014,"Jan",338
2014,"Feb",349
2014,"Mar",512
2014,"Apr",885
2014,"May",1306
2014,"Jun",1193
2014,"Jul",1869
2014,"Aug",1996
2014,"Sep",2015
2014,"Oct",1922
2014,"Nov",829
2014,"Dec",477
2015,"Jan",399
2015,"Feb",407
2015,"Mar",647
2015,"Apr",1073
2015,"May",1387
2015,"Jun",1175
2015,"Jul",1810
2015,"Aug",1940
2015,"Sep",1774
2015,"Oct",1680
2015,"Nov",955
2015,"Dec",530
2016,"Jan",473
2016,"Feb",468
2016,"Mar",607
2016,"Apr",1000
2016,"May",1487
2016,"Jun",1039
2016,"Jul",1634
2016,"Aug",1836
2016,"Sep",1739
2016,"Oct",1564
2016,"Nov",971
2016,"Dec",560
2017,"Jan",442
2017,"Feb",454
2017,"Mar",683
2017,"Apr",1042
2017,"May",1442
2017,"Jun",1248
2017,"Jul",2084
2017,"Aug",2119
2017,"Sep",1931
2017,"Oct",1694
2017,"Nov",1100
2017,"Dec",514
2018,"Jan",441
2018,"Feb",469
2018,"Mar",690
2018,"Apr",1130
2018,"May",1725
2018,"Jun",1314
2018,"Jul",1993
2018,"Aug",2277
2018,"Sep",2250
2018,"Oct",2353
2018,"Nov",1018
2018,"Dec",545
2019,"Jan",464
2019,"Feb",553
2019,"Mar",779
2019,"Apr",1248
2019,"May",1795
2019,"Jun",1524
2019,"Jul",2225
2019,"Aug",2517
2019,"Sep",2286
2019,"Oct",2230
2019,"Nov",1170
2019,"Dec",554
2020,"Jan",429
2020,"Feb",442
2020,"Mar",670
2020,"Apr",491
2020,"May",753
2020,"Jun",925
2020,"Jul",1723
2020,"Aug",1825
2020,"Sep",1675
2020,"Oct",1476
2020,"Nov",774
2020,"Dec",444
2021,"Jan",420
2021,"Feb",441
2021,"Mar",603
2021,"Apr",1016
2021,"May",1532
2021,"Jun",1364
2021,"Jul",2134
2021,"Aug",2411
2021,"Sep",2157
2021,"Oct",1935
2021,"Nov",1006
2021,"Dec",622
2022,"Jan",407
2022,"Feb",433
2022,"Mar",778
2022,"Apr",1272
2022,"May",1689
2022,"Jun",1413
2022,"Jul",2252
2022,"Aug",2458
2022,"Sep",2568
2022,"Oct",2213
2022,"Nov",1139
2022,"Dec",602
2023,"Jan",562
2023,"Feb",532
2023,"Mar",860
2023,"Apr",1435
2023,"May",2130
2023,"Jun",1584
2023,"Jul",2462
2023,"Aug",2789
2023,"Sep",2615
2023,"Oct",2602
2023,"Nov",1389
2023,"Dec",664
2024,"Jan",622
2024,"Feb",579
2024,"Mar",895
2024,"Apr",1597
2024,"May",2344
2024,"Jun",1962
2024,"Jul",2971
2024,"Aug",3046
2024,"Sep",2986
2024,"Oct",2974
2024,"Nov",1550
2024,"Dec",844
2025,"Jan",709
2025,"Feb",641
2025,"Mar",1065
2025,"Apr",1981
2025,"May",2659
2025,"Jun",2179
2025,"Jul",3029
2025,"Aug",3221
2025,"Sep",3510
2025,"Oct",3067
2025,"Nov",1596
2025,"Dec",802
2026,"Jan",625
2026,"Feb",685
2026,"Mar",1190
2026,"Apr",2030
2026,"May",2871
2026,"Jun",846
2026,"Jul",49
2026,"Aug",3
