"SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Brandt's cormorant","Climb","Day",1,1,1
"Brant","Approach","Dawn",1,1,1
"Brewer's blackbird","Descent","Night",1,1,1
"Brown bear","Landing Roll","Night",1,1,1
"Brown pelican","Approach","Dawn",1,1,1
"Brown pelican","Climb","Dawn",1,1,1
"Brown pelican","En Route","Night",1,1,1
"Brown thrasher","En Route","Night",1,1,1
"Bufflehead","Approach","Dusk",1,1,1
"Cackling goose","Approach","Dawn",1,1,1
"Cackling goose","Climb","Dusk",1,1,1
"Cackling goose","Climb","Night",1,1,1
"Cackling goose","En Route","Day",1,1,1
"Cackling goose","Landing Roll","Day",1,1,1
"California gull","Climb","Dusk",1,1,1
"California gull","En Route","Dawn",1,1,1
"California gull","En Route","Day",1,1,1
"Canada goose","En Route","Dawn",1,1,1
"Canada goose","Local","Dusk",1,1,1
"Canids","Landing Roll","Night",1,1,1
"Canvasback","Approach","Day",1,1,1
"Canvasback","En Route","Day",1,1,1
"Canvasback","En Route","Dusk",1,1,1
"Carolina wren","En Route","Night",1,1,1
"Carrion crow","Climb","Day",1,1,1
"Caspian tern","En Route","Day",1,1,1
"Cassin's finch","Approach","Dusk",1,1,1
"Cattle","Approach","Day",1,1,1
"Cattle","Climb","Day",1,1,1
"Cattle","Local","Day",1,1,1
"Cattle","Parked","Day",1,1,1
"Cattle","Take-off Run","Day",1,1,1
"Cattle","Take-off Run","Night",1,1,1
"Cinnamon teal","Approach","Dawn",1,1,1
"Common eider","Approach","Night",1,1,1
"Common eider","Climb","Dusk",1,1,1
"Common eider","En Route","Night",1,1,1
"Common gallinule","En Route","Night",1,1,1
"Common goldeneye","Climb","Dawn",1,1,1
"Common goldeneye","Climb","Night",1,1,1
"Common loon","Approach","Dawn",1,1,1
"Common loon","Approach","Night",1,1,1
"Common loon","Climb","Dawn",1,1,1
"Common loon","Climb","Dusk",1,1,1
"Common loon","En Route","Dawn",1,1,1
"Common loon","En Route","Day",1,1,1
"Common merganser","Take-off Run","Day",1,1,1
"Common raven","Approach","Night",1,1,1
"Cormorants","Climb","Day",1,1,1
"Cranes","Climb","Night",1,1,1
"Crested caracara","Departure","Day",1,1,1
"Crows","En Route","Night",1,1,1
"Crows, ravens","Climb","Day",1,1,1
"Cuckoos","Climb","Night",1,1,1
"Dark-billed cuckoo","Climb","Night",1,1,1
"Deer","Approach","Day",1,1,1
"Deer","Approach","Night",1,1,1
"Deer","Take-off Run","Day",1,1,1
"Diving duck (Aythya)","Descent","Day",1,1,1
"Domestic/feral dog","Parked","Dusk",1,1,1
"Domestic/feral dog","Take-off Run","Dawn",1,1,1
"Double-crested cormorant","En Route","Dusk",1,1,1
"Double-crested cormorant","Landing Roll","Night",1,1,1
"Double-striped thick-knee","Departure","Night",1,1,1
"Ducks, geese, swans","Climb","Dawn",1,1,1
"Eared grebe","Approach","Day",1,1,1
"Eared grebe","En Route","Night",1,1,1
"Egrets","En Route","Night",1,1,1
"Emperor goose","Climb","Day",1,1,1
"Eurasian collared dove","Climb","Night",1,1,1
"Eurasian moorhen","Departure","Dawn",1,1,1
"Eurasian wigeon","Climb","Night",1,1,1
"European starling","Local","Night",1,1,1
"Falcons, kestrels, falconets","Approach","Night",1,1,1
"Flammulated owl","Descent","Night",1,1,1
