"SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Blackbirds","Climb","Day",185,20,0.108108108108108
"Purple martin","Climb","Day",28,3,0.107142857142857
"American robin","Approach","Dusk",47,5,0.106382978723404
"Cooper's hawk","Landing Roll","Day",19,2,0.105263157894737
"Peregrine falcon","Approach","Day",40,4,0.1
"Owls","Take-off Run","Night",30,3,0.1
"Blackbirds","Approach","Dawn",20,2,0.1
"Cuckoos","Approach","Night",20,2,0.1
"Falcons, kestrels, falconets","Take-off Run","Day",20,2,0.1
"Eastern towhee","Approach","Night",10,1,0.1
"Eurasian collared dove","Approach","Day",10,1,0.1
"Hawks","Landing Roll","Dawn",10,1,0.1
"Sandpipers, curlews, phalaropes, allies","Landing Roll","Dusk",10,1,0.1
"Short-billed gull","Take-off Run","Day",10,1,0.1
"Western meadowlark","Take-off Run","Night",10,1,0.1
"White-winged dove","Take-off Run","Day",10,1,0.1
"American robin","Approach","Night",424,42,0.0990566037735849
"Raccoon","Landing Roll","Night",41,4,0.0975609756097561
"Crows","Landing Roll","Day",31,3,0.0967741935483871
"Doves","Climb","Day",83,8,0.0963855421686747
"Western meadowlark","Climb","Day",52,5,0.0961538461538462
"Hawks","Approach","Night",42,4,0.0952380952380952
"Horned lark","Approach","Dusk",21,2,0.0952380952380952
"Hawks","Landing Roll","Day",263,25,0.0950570342205323
"Blackbirds","Approach","Night",32,3,0.09375
"Sandpipers, curlews, phalaropes, allies","Take-off Run","Day",54,5,0.0925925925925926
"Red-tailed hawk","Landing Roll","Day",541,50,0.0924214417744917
"American barn owl","Approach","Night",163,15,0.0920245398773006
"Purple martin","Approach","Day",77,7,0.0909090909090909
"American golden-plover","Take-off Run","Day",22,2,0.0909090909090909
"Great egret","Landing Roll","Day",22,2,0.0909090909090909
"Ring-billed gull","Take-off Run","Dawn",22,2,0.0909090909090909
"Short-eared owl","Take-off Run","Night",22,2,0.0909090909090909
"Brant","Approach","Day",11,1,0.0909090909090909
"Gray catbird","Landing Roll","Night",11,1,0.0909090909090909
"Laughing gull","Approach","Dusk",11,1,0.0909090909090909
"Mallard/American black duck complex","Approach","Day",11,1,0.0909090909090909
"Purple martin","Approach","Dusk",11,1,0.0909090909090909
"Ring-billed gull","Take-off Run","Night",11,1,0.0909090909090909
"Rock pigeon","Take-off Run","Dusk",11,1,0.0909090909090909
"Shorebirds","Landing Roll","Day",11,1,0.0909090909090909
"Swainson's thrush","Approach","Dawn",11,1,0.0909090909090909
"Western sandpiper","Landing Roll","Night",11,1,0.0909090909090909
"White-tailed jackrabbit","Take-off Run","Night",11,1,0.0909090909090909
"White-throated swift","Climb","Day",11,1,0.0909090909090909
"Gulls","Take-off Run","Dusk",45,4,0.0888888888888889
"American crow","Approach","Day",127,11,0.0866141732283465
"Owls","Landing Roll","Night",104,9,0.0865384615384615
"White-throated swift","Approach","Day",58,5,0.0862068965517241
"Blackbirds","Take-off Run","Day",151,13,0.0860927152317881
"Horned lark","Approach","Night",36,3,0.0833333333333333
"Common grackle","Take-off Run","Day",24,2,0.0833333333333333
"American barn owl","Approach","Day",12,1,0.0833333333333333
"Hawks","Local","Day",12,1,0.0833333333333333
"Hermit thrush","Climb","Night",12,1,0.0833333333333333
"Northern harrier","Take-off Run","Day",12,1,0.0833333333333333
"Semipalmated plover","Approach","Night",12,1,0.0833333333333333
"White-/golden-crown sparrow complex","Descent","Night",12,1,0.0833333333333333
"Gulls","Approach","Dawn",61,5,0.0819672131147541
"American barn owl","Climb","Night",37,3,0.0810810810810811
"Franklin's gull","Approach","Day",37,3,0.0810810810810811
"Mourning dove","Climb","Day",400,32,0.08
"Merlin","Take-off Run","Day",25,2,0.08
"Wood thrush","Approach","Night",38,3,0.0789473684210526
"Western cattle egret","Approach","Day",89,7,0.0786516853932584
"Coyote","Landing Roll","Day",51,4,0.0784313725490196
"Doves","Take-off Run","Day",193,15,0.077720207253886
"Dunlin","Approach","Night",26,2,0.0769230769230769
"Boat-tailed grackle","Take-off Run","Day",13,1,0.0769230769230769
"Bonaparte's gull","Take-off Run","Day",13,1,0.0769230769230769
"Cedar waxwing","Landing Roll","Day",13,1,0.0769230769230769
"Common grackle","Climb","Day",13,1,0.0769230769230769
"Ducks","Landing Roll","Night",13,1,0.0769230769230769
"Dunlin","Landing Roll","Day",13,1,0.0769230769230769
"Falcons, kestrels, falconets","Approach","Day",13,1,0.0769230769230769
"Grasshopper sparrow","Approach","Night",13,1,0.0769230769230769
"Great-tailed grackle","Take-off Run","Day",13,1,0.0769230769230769
"Green heron","Approach","Night",13,1,0.0769230769230769
"Short-billed gull","Approach","Day",13,1,0.0769230769230769
"Swainson's thrush","Descent","Day",13,1,0.0769230769230769
"Swainson's thrush","Landing Roll","Day",13,1,0.0769230769230769
"Violet-green swallow","Approach","Day",13,1,0.0769230769230769
"Varied thrush","Approach","Night",27,2,0.0740740740740741
"Herring gull","Landing Roll","Day",149,11,0.0738255033557047
"Rock pigeon","Landing Roll","Day",542,40,0.0738007380073801
"Cedar waxwing","Climb","Day",28,2,0.0714285714285714
"Chimney swift","Descent","Day",14,1,0.0714285714285714
"Dark-eyed junco","Approach","Day",14,1,0.0714285714285714
"Grackles","Landing Roll","Day",14,1,0.0714285714285714
"Hawks","Departure","Day",14,1,0.0714285714285714
"Herring gull","Approach","Dusk",14,1,0.0714285714285714
"Killdeer","Climb","Dusk",14,1,0.0714285714285714
"Pigeons, doves","Approach","Day",14,1,0.0714285714285714
"Red-tailed hawk","Departure","Day",14,1,0.0714285714285714
"Ring-billed gull","Approach","Dawn",14,1,0.0714285714285714
"Swallows","En Route","Day",14,1,0.0714285714285714
"Gulls","Landing Roll","Night",86,6,0.0697674418604651
"Mourning dove","Take-off Run","Dusk",133,9,0.0676691729323308
"Killdeer","Climb","Day",163,11,0.0674846625766871
"American crow","Take-off Run","Day",89,6,0.0674157303370786
"Gulls","Landing Roll","Day",909,61,0.0671067106710671
"Glaucous-winged gull","Take-off Run","Day",30,2,0.0666666666666667
"Western tanager","Approach","Night",30,2,0.0666666666666667
"American golden-plover","Approach","Day",15,1,0.0666666666666667
"Black-bellied plover","Landing Roll","Day",15,1,0.0666666666666667
"Brown-headed cowbird","Approach","Night",15,1,0.0666666666666667
"Eastern meadowlark","Take-off Run","Night",15,1,0.0666666666666667
"Red-shouldered hawk","Landing Roll","Day",15,1,0.0666666666666667
"Red-winged blackbird","Approach","Dusk",15,1,0.0666666666666667
"Red fox","Landing Roll","Day",15,1,0.0666666666666667
"Yellow-rumped warbler","Climb","Night",15,1,0.0666666666666667
"Microbats","En Route","Night",31,2,0.0645161290322581
"Rose-breasted grosbeak","Approach","Night",31,2,0.0645161290322581
"Doves","Approach","Day",142,9,0.0633802816901408
"American robin","Approach","Day",190,12,0.0631578947368421
"Mourning dove","Departure","Day",48,3,0.0625
"Yellow-billed cuckoo","Approach","Night",32,2,0.0625
"Great blue heron","Landing Roll","Night",16,1,0.0625
"Herring gull","Landing Roll","Dusk",16,1,0.0625
"Killdeer","Departure","Day",16,1,0.0625
"Ring-billed gull","Landing Roll","Night",16,1,0.0625
"Yellow-breasted chat","Approach","Night",16,1,0.0625
"Blackbirds","Approach","Day",522,32,0.0613026819923372
"Mallard","Landing Roll","Day",49,3,0.0612244897959184
"House sparrow","Approach","Day",33,2,0.0606060606060606
"Mourning dove","Climb","Dawn",50,3,0.06
"European starling","Approach","Night",68,4,0.0588235294117647
"Evening bat","Approach","Night",34,2,0.0588235294117647
"Pacific golden-plover","Take-off Run","Night",34,2,0.0588235294117647
"Eastern meadowlark","Approach","Dusk",17,1,0.0588235294117647
"Horned lark","Take-off Run","Night",17,1,0.0588235294117647
"Red-tailed hawk","Landing Roll","Dawn",17,1,0.0588235294117647
"Thrushes","Approach","Night",17,1,0.0588235294117647
"Yellow-crowned night heron","Landing Roll","Night",17,1,0.0588235294117647
"Yellow-bellied sapsucker","Approach","Night",70,4,0.0571428571428571
"Eastern meadowlark","Climb","Day",106,6,0.0566037735849057
"American barn owl","Take-off Run","Night",124,7,0.0564516129032258
"Mourning dove","Take-off Run","Night",90,5,0.0555555555555556
"Black-tailed jackrabbit","Take-off Run","Night",36,2,0.0555555555555556
"Great egret","Take-off Run","Day",36,2,0.0555555555555556
"European starling","Landing Roll","Dawn",18,1,0.0555555555555556
"Snowy owl","Landing Roll","Day",18,1,0.0555555555555556
"Laughing gull","Take-off Run","Day",127,7,0.0551181102362205
"Mourning dove","Approach","Night",240,13,0.0541666666666667
"American kestrel","Approach","Night",37,2,0.0540540540540541
"Snow bunting","Climb","Day",37,2,0.0540540540540541
"Perching birds (y)","Climb","Day",57,3,0.0526315789473684
"Chestnut munia","Approach","Day",19,1,0.0526315789473684
"Doves","Landing Roll","Night",19,1,0.0526315789473684
"Microbats","Climb","Night",19,1,0.0526315789473684
"Owls","Take-off Run","Day",19,1,0.0526315789473684
"Mourning dove","Take-off Run","Dawn",232,12,0.0517241379310345
"Veery","Approach","Night",39,2,0.0512820512820513
"Mourning dove","Approach","Day",703,36,0.0512091038406828
"Pacific golden-plover","Landing Roll","Night",59,3,0.0508474576271186
"Laughing gull","Approach","Day",99,5,0.0505050505050505
"California gull","Approach","Day",40,2,0.05
"Common nighthawk","Take-off Run","Day",20,1,0.05
"Eastern meadowlark","Departure","Day",20,1,0.05
"Northern harrier","Approach","Day",20,1,0.05
"Owls","Climb","Night",20,1,0.05
"Wilson's snipe","Approach","Night",41,2,0.0487804878048781
"Black-tailed jackrabbit","Landing Roll","Night",62,3,0.0483870967741935
"American barn owl","Landing Roll","Night",290,14,0.0482758620689655
"American crow","Landing Roll","Day",83,4,0.0481927710843374
"Pacific golden-plover","Approach","Day",63,3,0.0476190476190476
"Gulls","Landing Roll","Dusk",42,2,0.0476190476190476
"Black-crowned night heron","Approach","Night",21,1,0.0476190476190476
"Meadowlarks","Climb","Day",21,1,0.0476190476190476
"Merlin","Landing Roll","Day",21,1,0.0476190476190476
"Northern house wren","Approach","Night",21,1,0.0476190476190476
"Sparrows","Climb","Dawn",21,1,0.0476190476190476
"Striped skunk","Take-off Run","Night",21,1,0.0476190476190476
"Vaux's swift","Approach","Day",21,1,0.0476190476190476
"Ring-billed gull","Landing Roll","Day",235,11,0.0468085106382979
"Meadowlarks","Approach","Day",43,2,0.0465116279069767
"New World wood-warblers","Approach","Night",22,1,0.0454545454545455
"Spotted dove","Take-off Run","Day",22,1,0.0454545454545455
"Egrets","Landing Roll","Day",89,4,0.0449438202247191
"American kestrel","Landing Roll","Dusk",46,2,0.0434782608695652
"Common myna","Landing Roll","Day",46,2,0.0434782608695652
"Franklin's gull","Landing Roll","Day",23,1,0.0434782608695652
"Savannah sparrow","Climb","Day",23,1,0.0434782608695652
"Mourning dove","Take-off Run","Day",1245,53,0.042570281124498
"Killdeer","Approach","Dusk",47,2,0.0425531914893617
"Red fox","Landing Roll","Night",72,3,0.0416666666666667
"Brown-headed cowbird","Take-off Run","Day",48,2,0.0416666666666667
"Crows","Take-off Run","Day",24,1,0.0416666666666667
"Finches, euphonias","Take-off Run","Day",24,1,0.0416666666666667
"Northern harrier","Landing Roll","Day",24,1,0.0416666666666667
"Pacific golden-plover","Climb","Day",24,1,0.0416666666666667
"Pacific golden-plover","Landing Roll","Dusk",24,1,0.0416666666666667
"Short-eared owl","Approach","Night",50,2,0.04
"Zebra dove","Take-off Run","Day",50,2,0.04
"Common nighthawk","Landing Roll","Day",25,1,0.04
"Semipalmated sandpiper","Approach","Day",25,1,0.04
"Semipalmated sandpiper","Take-off Run","Day",25,1,0.04
"Hawks","Landing Roll","Night",26,1,0.0384615384615385
"Upland sandpiper","Take-off Run","Day",26,1,0.0384615384615385
"Western sandpiper","Take-off Run","Day",26,1,0.0384615384615385
"Western meadowlark","Approach","Day",183,7,0.0382513661202186
"European starling","Take-off Run","Day",798,30,0.037593984962406
"Blackbirds","Approach","Dusk",54,2,0.037037037037037
"Rock pigeon","Landing Roll","Night",27,1,0.037037037037037
"Sparrows","Climb","Night",27,1,0.037037037037037
"Swainson's thrush","Approach","Night",244,9,0.0368852459016393
"Chipping sparrow","Approach","Night",55,2,0.0363636363636364
"Western sandpiper","Approach","Day",55,2,0.0363636363636364
"Western cattle egret","Landing Roll","Day",166,6,0.036144578313253
"Killdeer","Take-off Run","Night",56,2,0.0357142857142857
"Killdeer","Climb","Night",28,1,0.0357142857142857
"Coyote","Take-off Run","Day",85,3,0.0352941176470588
"Red-winged blackbird","Approach","Day",87,3,0.0344827586206897
"Barn swallow","Arrival","Day",29,1,0.0344827586206897
"Gray-cheeked thrush","Approach","Night",29,1,0.0344827586206897
"Red fox","Take-off Run","Night",29,1,0.0344827586206897
"Western kingbird","Approach","Day",29,1,0.0344827586206897
"European starling","Approach","Day",987,34,0.0344478216818642
"Killdeer","Approach","Day",354,12,0.0338983050847458
"Mourning dove","Landing Roll","Night",179,6,0.0335195530726257
"Pacific golden-plover","Approach","Night",30,1,0.0333333333333333
"Perching birds (y)","Landing Roll","Night",30,1,0.0333333333333333
"Doves","Landing Roll","Day",182,6,0.032967032967033
"American kestrel","Climb","Day",213,7,0.0328638497652582
"Mourning dove","Landing Roll","Dawn",93,3,0.032258064516129
"Doves","Landing Roll","Dusk",31,1,0.032258064516129
"Northern parula","Approach","Night",31,1,0.032258064516129
"Cedar waxwing","Approach","Night",64,2,0.03125
"American robin","Landing Roll","Night",32,1,0.03125
"Western meadowlark","Landing Roll","Dusk",32,1,0.03125
"White-crowned sparrow","Approach","Night",32,1,0.03125
"Short-eared owl","Landing Roll","Night",65,2,0.0307692307692308
"Sparrows","Approach","Night",98,3,0.0306122448979592
"Least sandpiper","Landing Roll","Day",33,1,0.0303030303030303
"Spotted dove","Landing Roll","Day",68,2,0.0294117647058824
"American golden-plover","Landing Roll","Day",34,1,0.0294117647058824
"Barn swallow","Approach","Night",34,1,0.0294117647058824
"Doves","Take-off Run","Dawn",34,1,0.0294117647058824
"Scarlet tanager","Approach","Night",34,1,0.0294117647058824
"Woodchuck","Take-off Run","Day",35,1,0.0285714285714286
"Eastern meadowlark","Take-off Run","Day",456,13,0.0285087719298246
"American robin","Take-off Run","Day",73,2,0.0273972602739726
"Hoary bat","Approach","Night",73,2,0.0273972602739726
"Blackbirds","Landing Roll","Day",147,4,0.0272108843537415
"Killdeer","Approach","Night",331,9,0.027190332326284
"Mallard","Landing Roll","Night",37,1,0.027027027027027
"White-winged dove","Approach","Day",37,1,0.027027027027027
"Eastern meadowlark","Approach","Day",187,5,0.0267379679144385
"Pacific golden-plover","Take-off Run","Day",114,3,0.0263157894736842
"European starling","Approach","Dawn",38,1,0.0263157894736842
"Upland sandpiper","Landing Roll","Day",38,1,0.0263157894736842
"Yellow warbler","Approach","Night",39,1,0.0256410256410256
"Lapland longspur","Approach","Day",40,1,0.025
"Northern rough-winged swallow","Landing Roll","Day",40,1,0.025
"Hermit thrush","Approach","Night",161,4,0.0248447204968944
"Mourning dove","Approach","Dusk",123,3,0.024390243902439
"Western meadowlark","Take-off Run","Day",206,5,0.0242718446601942
"Perching birds (y)","Approach","Night",294,7,0.0238095238095238
"Wilson's warbler","Approach","Night",42,1,0.0238095238095238
"American kestrel","Approach","Day",466,11,0.0236051502145923
"European starling","Take-off Run","Dawn",43,1,0.0232558139534884
"Barn swallow","Take-off Run","Dawn",44,1,0.0227272727272727
"Killdeer","Take-off Run","Dusk",45,1,0.0222222222222222
"Woodchuck","Landing Roll","Day",45,1,0.0222222222222222
"Snow bunting","Take-off Run","Day",94,2,0.0212765957446809
"Perching birds (y)","Take-off Run","Day",47,1,0.0212765957446809
"Killdeer","Take-off Run","Day",565,12,0.0212389380530973
"Sparrows","Climb","Day",384,8,0.0208333333333333
"Sparrows","Take-off Run","Dawn",48,1,0.0208333333333333
"Tennessee warbler","Approach","Night",48,1,0.0208333333333333
"Dark-eyed junco","Approach","Night",148,3,0.0202702702702703
"Common yellowthroat","Approach","Night",99,2,0.0202020202020202
"House sparrow","Landing Roll","Day",50,1,0.02
"Sandpipers, curlews, phalaropes, allies","Landing Roll","Day",50,1,0.02
"Eastern meadowlark","Landing Roll","Dusk",51,1,0.0196078431372549
"Sparrows","Landing Roll","Day",728,14,0.0192307692307692
"Mourning dove","Landing Roll","Day",1311,25,0.01906941266209
"Western kingbird","Take-off Run","Day",53,1,0.0188679245283019
"Cedar waxwing","Approach","Day",216,4,0.0185185185185185
"Virginia opossum","Landing Roll","Night",54,1,0.0185185185185185
"Sparrows","Approach","Day",763,14,0.018348623853211
"Yellow-rumped warbler","Approach","Night",167,3,0.0179640718562874
"American kestrel","Take-off Run","Day",783,14,0.0178799489144317
"Lincoln's sparrow","Approach","Night",57,1,0.0175438596491228
"Mourning dove","Landing Roll","Dusk",229,4,0.0174672489082969
"Killdeer","Landing Roll","Night",348,6,0.0172413793103448
"Snow bunting","Approach","Day",61,1,0.0163934426229508
"Blackpoll warbler","Approach","Night",62,1,0.0161290322580645
"European starling","Landing Roll","Dusk",65,1,0.0153846153846154
"Western sandpiper","Landing Roll","Day",65,1,0.0153846153846154
"Sparrows","Take-off Run","Day",663,10,0.0150829562594268
"Horned lark","Climb","Day",200,3,0.015
"Savannah sparrow","Approach","Night",134,2,0.0149253731343284
"Western meadowlark","Landing Roll","Day",341,5,0.0146627565982405
"Common nighthawk","Approach","Night",69,1,0.0144927536231884
"Common nighthawk","Landing Roll","Night",70,1,0.0142857142857143
"Savannah sparrow","Approach","Day",72,1,0.0138888888888889
"Mourning dove","Approach","Dawn",73,1,0.0136986301369863
"European starling","Approach","Dusk",74,1,0.0135135135135135
"White-throated sparrow","Approach","Night",227,3,0.013215859030837
"Ruby-crowned kinglet","Approach","Night",76,1,0.0131578947368421
"Horned lark","Take-off Run","Day",914,12,0.0131291028446389
"Snow bunting","Landing Roll","Day",77,1,0.012987012987013
"Red-eyed vireo","Approach","Night",157,2,0.0127388535031847
"Song sparrow","Approach","Night",79,1,0.0126582278481013
"Pacific golden-plover","Landing Roll","Day",159,2,0.0125786163522013
"European starling","Landing Roll","Day",835,10,0.0119760479041916
"Eastern meadowlark","Landing Roll","Day",425,5,0.0117647058823529
"Chimney swift","Approach","Day",732,8,0.0109289617486339
"Swallows","Landing Roll","Day",370,4,0.0108108108108108
"Ovenbird","Approach","Night",97,1,0.0103092783505155
"Barn swallow","Climb","Day",415,4,0.00963855421686747
"American kestrel","Landing Roll","Day",1170,11,0.0094017094017094
"Savannah sparrow","Landing Roll","Day",111,1,0.00900900900900901
"Swallows","Climb","Day",113,1,0.00884955752212389
"Horned lark","Landing Roll","Day",1147,10,0.00871839581517001
"Bank swallow","Approach","Day",125,1,0.008
"Chimney swift","Landing Roll","Day",125,1,0.008
"Brazilian free-tailed bat","Approach","Night",399,3,0.0075187969924812
"Swallows","Approach","Day",274,2,0.0072992700729927
"Eastern red bat","Approach","Night",139,1,0.00719424460431655
"Tree swallow","Take-off Run","Day",158,1,0.00632911392405063
"Horned lark","Approach","Day",497,3,0.00603621730382294
"Bank swallow","Landing Roll","Day",180,1,0.00555555555555556
"Barn swallow","Landing Roll","Day",2004,11,0.00548902195608782
"Killdeer","Landing Roll","Day",739,4,0.0054127198917456
"Microbats","Approach","Night",201,1,0.00497512437810945
"Barn swallow","Approach","Day",1074,5,0.00465549348230913
"Cliff swallow","Approach","Day",480,2,0.00416666666666667
"Barn swallow","Take-off Run","Day",1458,6,0.00411522633744856
"Swallows","Take-off Run","Day",247,1,0.00404858299595142
"Cliff swallow","Landing Roll","Day",576,1,0.00173611111111111
"Cliff swallow","Take-off Run","Day",394,0,0
"Tree swallow","Landing Roll","Day",245,0,0
"Tree swallow","Approach","Day",226,0,0
"Perching birds (y)","Approach","Day",223,0,0
"Gray catbird","Approach","Night",167,0,0
"Bank swallow","Take-off Run","Day",143,0,0
"Vesper bats","Approach","Night",121,0,0
"Perching birds (y)","Landing Roll","Day",117,0,0
"American pipit","Approach","Day",102,0,0
"Zebra dove","Landing Roll","Day",101,0,0
"Killdeer","Landing Roll","Dusk",100,0,0
"American robin","Landing Roll","Day",99,0,0
"Cliff swallow","Climb","Day",97,0,0
"Laughing gull","Landing Roll","Day",94,0,0
"Meadowlarks","Landing Roll","Day",89,0,0
"Yellow-rumped warbler","Approach","Day",88,0,0
"Barn swallow","Landing Roll","Dusk",79,0,0
"Chimney swift","Climb","Day",75,0,0
"Tree swallow","Climb","Day",75,0,0
"Brazilian free-tailed bat","Landing Roll","Night",73,0,0
"American pipit","Landing Roll","Day",71,0,0
"Coyote","Approach","Day",69,0,0
"Savannah sparrow","Take-off Run","Day",66,0,0
"Swamp sparrow","Approach","Night",66,0,0
"Western kingbird","Landing Roll","Day",65,0,0
"Killdeer","Take-off Run","Dawn",63,0,0
"Striped skunk","Landing Roll","Night",62,0,0
"American robin","Climb","Day",61,0,0
"Barn swallow","Departure","Day",59,0,0
"House finch","Approach","Day",57,0,0
"Purple martin","Landing Roll","Day",57,0,0
"Red-winged blackbird","Landing Roll","Day",57,0,0
"Chimney swift","Take-off Run","Day",53,0,0
"Barn swallow","Approach","Dusk",52,0,0
"Meadowlarks","Take-off Run","Day",52,0,0
"Microbats","Landing Roll","Night",52,0,0
"Free-tailed bats","Approach","Night",50,0,0
"Horned lark","Departure","Day",50,0,0
"Scissor-tailed flycatcher","Landing Roll","Day",50,0,0
"Barn swallow","Take-off Run","Dusk",49,0,0
"American pipit","Take-off Run","Day",48,0,0
"Mourning dove","Local","Day",47,0,0
"Red-winged blackbird","Take-off Run","Day",42,0,0
"Sparrows","Approach","Dusk",42,0,0
"Black-and-white warbler","Approach","Night",41,0,0
"House sparrow","Take-off Run","Day",41,0,0
"White-/golden-crown sparrow complex","Approach","Night",41,0,0
"Bank swallow","Climb","Day",39,0,0
"Barn swallow","Local","Day",39,0,0
"Brown-headed cowbird","Approach","Day",39,0,0
"Fox sparrow","Approach","Night",39,0,0
"Least sandpiper","Approach","Day",39,0,0
"Sparrows","Landing Roll","Dusk",39,0,0
"Brown-headed cowbird","Landing Roll","Day",38,0,0
"American kestrel","Landing Roll","Night",37,0,0
"American redstart","Approach","Night",37,0,0
"Palm warbler","Approach","Night",37,0,0
"American goldfinch","Approach","Day",36,0,0
"Burrowing owl","Landing Roll","Night",36,0,0
"Scaly-breasted munia","Landing Roll","Day",36,0,0
"Big brown bat","Approach","Night",35,0,0
"Mourning dove","Taxi","Day",35,0,0
"European starling","Local","Day",34,0,0
"European starling","Take-off Run","Dusk",34,0,0
"Killdeer","Landing Roll","Dawn",34,0,0
"Horned lark","Arrival","Day",33,0,0
"Horned lark","Take-off Run","Dawn",33,0,0
"Silver-haired bat","Approach","Night",33,0,0
"Swainson's thrush","Approach","Day",33,0,0
"American kestrel","Local","Day",32,0,0
"Common nighthawk","Approach","Day",31,0,0
"Horned lark","Local","Day",31,0,0
"Blue-gray gnatcatcher","Approach","Day",30,0,0
"Brazilian free-tailed bat","Approach","Day",30,0,0
"Chimney swift","Approach","Dusk",30,0,0
"Western sandpiper","Approach","Night",30,0,0
"American kestrel","Take-off Run","Dawn",29,0,0
"Bay-breasted warbler","Approach","Night",29,0,0
"Eastern meadowlark","Local","Day",29,0,0
"Eastern wood-pewee","Approach","Night",29,0,0
"Purple martin","Take-off Run","Day",29,0,0
"Eastern meadowlark","Take-off Run","Dawn",28,0,0
"Semipalmated sandpiper","Landing Roll","Day",28,0,0
"American kestrel","Departure","Day",27,0,0
"Eurasian skylark","Take-off Run","Day",27,0,0
"Gulls","Departure","Day",27,0,0
"Chimney swift","Approach","Night",26,0,0
"European starling","Landing Roll","Night",26,0,0
"Magnolia warbler","Approach","Night",26,0,0
"Orange-crowned warbler","Approach","Night",26,0,0
"Pacific golden-plover","Landing Roll","Dawn",26,0,0
"Red-winged blackbird","Climb","Day",26,0,0
"Scissor-tailed flycatcher","Approach","Day",26,0,0
"Eastern meadowlark","Take-off Run","Dusk",25,0,0
"Scissor-tailed flycatcher","Take-off Run","Day",25,0,0
"Sparrows","Landing Roll","Night",25,0,0
"Zebra dove","Approach","Day",25,0,0
"American kestrel","Approach","Dusk",24,0,0
"American kestrel","Take-off Run","Dusk",24,0,0
"American robin","Approach","Dawn",24,0,0
"Barn swallow","Landing Roll","Night",24,0,0
"Brazilian free-tailed bat","Approach","Dusk",24,0,0
"Common myna","Take-off Run","Day",24,0,0
"European starling","Departure","Day",24,0,0
"Gulls","Taxi","Day",24,0,0
"Sparrows","Take-off Run","Dusk",24,0,0
"Barn swallow","Landing Roll","Dawn",23,0,0
"Barn swallow","Take-off Run","Night",23,0,0
"Cliff swallow","Landing Roll","Dusk",23,0,0
"Horned lark","Landing Roll","Dusk",23,0,0
"Killdeer","Approach","Dawn",23,0,0
"Sparrows","En Route","Day",23,0,0
"Vesper bats","Landing Roll","Night",23,0,0
"White-tailed jackrabbit","Landing Roll","Night",23,0,0
"White-throated sparrow","Approach","Day",23,0,0
"American kestrel","Arrival","Day",22,0,0
"American pipit","Climb","Day",22,0,0
"Cave swallow","Landing Roll","Day",22,0,0
"Eastern meadowlark","Landing Roll","Night",22,0,0
"Finches, euphonias","Landing Roll","Day",22,0,0
"Killdeer","Local","Day",22,0,0
"Northern waterthrush","Approach","Night",22,0,0
"Scaly-breasted munia","Approach","Day",22,0,0
"Upland sandpiper","Approach","Day",22,0,0
"Western meadowlark","Take-off Run","Dawn",22,0,0
"Big brown bat","Landing Roll","Night",21,0,0
"Black-throated green warbler","Approach","Night",21,0,0
"Chestnut-sided warbler","Approach","Night",21,0,0
"Chimney swift","Approach","Dawn",21,0,0
"Cooper's hawk","Take-off Run","Day",21,0,0
"Diving duck (Aythya)","Approach","Night",21,0,0
"Eastern phoebe","Approach","Night",21,0,0
"Eastern red bat","Landing Roll","Night",21,0,0
"Eurasian skylark","Landing Roll","Day",21,0,0
"Hawks","Landing Roll","Dusk",21,0,0
"House finch","Take-off Run","Day",21,0,0
"Indigo bunting","Approach","Night",21,0,0
"Merlin","Approach","Day",21,0,0
"Scaly-breasted munia","Take-off Run","Day",21,0,0
"Song sparrow","Landing Roll","Day",21,0,0
"Black-throated blue warbler","Approach","Night",20,0,0
"Common grackle","Landing Roll","Day",20,0,0
"Common nighthawk","Take-off Run","Night",20,0,0
"Grackles","Approach","Day",20,0,0
"Gray catbird","Approach","Day",20,0,0
"Horned lark","Landing Roll","Night",20,0,0
"House finch","Landing Roll","Day",20,0,0
"Least sandpiper","Take-off Run","Day",20,0,0
"Perching birds (y)","Descent","Night",20,0,0
"Short-eared owl","Landing Roll","Day",20,0,0
"Song sparrow","Approach","Day",20,0,0
"Sparrows","Departure","Day",20,0,0
"House finch","Climb","Day",19,0,0
"House sparrow","Climb","Day",19,0,0
"Lark bunting","Landing Roll","Day",19,0,0
"Nashville warbler","Approach","Night",19,0,0
"Northern rough-winged swallow","Approach","Day",19,0,0
"Perching birds (y)","Approach","Dusk",19,0,0
"Western flycatcher","Approach","Night",19,0,0
"White-tailed kite","Take-off Run","Day",19,0,0
"White-throated sparrow","Landing Roll","Night",19,0,0
"Blackbirds","Climb","Dawn",18,0,0
"Brown-headed cowbird","Climb","Day",18,0,0
"Finches, euphonias","Approach","Day",18,0,0
"Northern rough-winged swallow","Take-off Run","Day",18,0,0
"Palm warbler","Approach","Day",18,0,0
"Perching birds (y)","Climb","Night",18,0,0
"Rock pigeon","Parked","Day",18,0,0
"Semipalmated sandpiper","Approach","Night",18,0,0
"Swainson's thrush","Landing Roll","Night",18,0,0
"Swallows","Approach","Night",18,0,0
"Vaux's swift","Landing Roll","Day",18,0,0
"Warbling vireo","Approach","Night",18,0,0
"Black-bellied plover","Take-off Run","Day",17,0,0
"Brazilian free-tailed bat","Climb","Night",17,0,0
