"rank","SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
253,"American kestrel","Take-off Run","Day",783,14,0.0178799489144317
254,"Mourning dove","Landing Roll","Dusk",229,4,0.0174672489082969
255,"Killdeer","Landing Roll","Night",348,6,0.0172413793103448
256,"Sparrows","Take-off Run","Day",663,10,0.0150829562594268
257,"Horned lark","Climb","Day",200,3,0.015
258,"Western meadowlark","Landing Roll","Day",341,5,0.0146627565982405
259,"White-throated sparrow","Approach","Night",227,3,0.013215859030837
260,"Horned lark","Take-off Run","Day",914,12,0.0131291028446389
261,"European starling","Landing Roll","Day",835,10,0.0119760479041916
262,"Eastern meadowlark","Landing Roll","Day",425,5,0.0117647058823529
263,"Chimney swift","Approach","Day",732,8,0.0109289617486339
264,"Swallows","Landing Roll","Day",370,4,0.0108108108108108
265,"Barn swallow","Climb","Day",415,4,0.00963855421686747
266,"American kestrel","Landing Roll","Day",1170,11,0.0094017094017094
267,"Horned lark","Landing Roll","Day",1147,10,0.00871839581517001
268,"Brazilian free-tailed bat","Approach","Night",399,3,0.0075187969924812
269,"Horned lark","Approach","Day",497,3,0.00603621730382294
270,"Barn swallow","Landing Roll","Day",2004,11,0.00548902195608782
271,"Killdeer","Landing Roll","Day",739,4,0.0054127198917456
272,"Barn swallow","Approach","Day",1074,5,0.00465549348230913
273,"Barn swallow","Take-off Run","Day",1458,6,0.00411522633744856
