"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE"
"Blue-winged/cinnamon/green-winged teal complex","Broad/ambiguous label",9,9,4,0,0.444444444444444
"Bluethroat","Named species",1,1,0,0,0
"Boat-tailed grackle","Named species",110,110,1,0,0.00909090909090909
"Bobcat","Named species",1,1,1,0,1
"Bobolink","Named species",83,83,1,0,0.0120481927710843
"Bohemian waxwing","Named species",3,3,0,0,0
"Bonaparte's gull","Named species",95,95,4,0,0.0421052631578947
"Bonin petrel","Named species",30,30,0,0,0
"Botta's pocket gopher","Named species",1,1,0,0,0
"Brandt's cormorant","Named species",5,5,1,0,0.2
"Brant","Named species",78,78,19,0,0.243589743589744
"Brazilian free-tailed bat","Named species",1787,1787,11,0,0.00615556799104645
"Brewer's blackbird","Named species",112,112,3,0,0.0267857142857143
"Brewer's sparrow","Named species",69,69,0,0,0
"Broad-eared bat","Named species",1,1,0,0,0
"Broad-tailed hummingbird","Named species",1,1,0,0,0
"Broad-winged hawk","Named species",73,73,24,0,0.328767123287671
"Bronze mannikin","Named species",1,1,0,0,0
"Brown bear","Named species",1,1,1,0,1
"Brown booby","Named species",3,3,0,0,0
"Brown creeper","Named species",10,10,0,0,0
"Brown flower bat","Named species",1,1,0,0,0
"Brown noddy","Named species",18,18,0,0,0
"Brown pelican","Named species",107,107,37,0,0.345794392523364
"Brown thrasher","Named species",67,67,3,0,0.0447761194029851
"Brown-crested flycatcher","Named species",4,4,0,0,0
"Brown-headed cowbird","Named species",558,558,4,0,0.00716845878136201
"Brown-throated parakeet","Named species",1,1,0,0,0
"Brush rabbit","Named species",1,1,0,0,0
"Budgerigar","Named species",22,22,0,0,0
"Buff-breasted sandpiper","Named species",100,100,2,0,0.02
"Bufflehead","Named species",46,46,9,0,0.195652173913043
"Bullock's oriole","Named species",12,12,0,0,0
"Burrowing owl","Named species",533,533,6,0,0.0112570356472795
"Bushtit","Named species",2,2,0,0,0
"Cackling goose","Named species",48,48,22,0,0.458333333333333
"Cactus wren","Named species",7,7,0,0,0
"California ground squirrel","Named species",14,14,0,0,0
"California gull","Named species",366,366,37,0,0.101092896174863
"California kingsnake","Named species",2,2,0,0,0
"California myotis","Named species",3,3,0,0,0
"California quail","Named species",1,1,0,0,0
"California towhee","Named species",3,3,0,0,0
"Calliope hummingbird","Named species",3,3,0,0,0
"Canada goose","Named species",2300,2300,1057,0,0.459565217391304
"Canada jay","Named species",2,2,0,0,0
"Canada warbler","Named species",42,42,0,0,0
"Canids","Broad/ambiguous label",6,6,2,0,0.333333333333333
"Canvasback","Named species",38,38,20,0,0.526315789473684
"Cape May warbler","Named species",84,84,0,0,0
"Cape serotine","Named species",3,3,0,0,0
"Caribbean martin","Named species",1,1,0,0,0
"Caribou","Named species",3,3,2,0,0.666666666666667
"Carolina chickadee","Named species",4,4,0,0,0
"Carolina wren","Named species",20,20,1,0,0.05
"Carrion crow","Named species",3,3,1,0,0.333333333333333
"Caspian tern","Named species",62,62,4,0,0.0645161290322581
"Cassin's finch","Named species",6,6,1,0,0.166666666666667
"Cassin's sparrow","Named species",10,10,0,0,0
"Cassin's vireo","Named species",10,10,0,0,0
"Cattle","Broad/ambiguous label",12,12,12,0,1
"Cave swallow","Named species",113,113,2,0,0.0176991150442478
"Cedar waxwing","Named species",760,760,21,0,0.0276315789473684
"Cerulean warbler","Named species",1,1,0,0,0
"Checkered garter snake","Named species",2,2,0,0,0
"Chestnut munia","Named species",97,97,1,0,0.0103092783505155
"Chestnut-collared longspur","Named species",15,15,0,0,0
"Chestnut-sided warbler","Named species",81,81,0,0,0
"Chickadees","Broad/ambiguous label",1,1,0,0,0
"Chicken turtle","Named species",1,1,0,0,0
"Chihuahuan meadowlark","Named species",1,1,0,0,0
"Chimney swift","Named species",2072,2072,22,0,0.0106177606177606
"Chipping sparrow","Named species",307,307,4,0,0.0130293159609121
"Chuck-will's-widow","Named species",26,26,1,0,0.0384615384615385
"Chukar","Named species",4,4,0,0,0
"Cinnamon teal","Named species",17,17,5,0,0.294117647058824
"Clapper rail","Named species",18,18,0,0,0
"Clark's grebe","Named species",3,3,0,0,0
"Clark's nutcracker","Named species",1,1,0,0,0
"Clay-colored sparrow","Named species",35,35,0,0,0
"Cliff swallow","Named species",3679,3679,9,0,0.00244631693394944
"Coastal plain cooter","Named species",4,4,0,0,0
"Collared peccary","Named species",6,6,2,0,0.333333333333333
"Collared plover","Named species",1,1,0,0,0
"Common box turtle","Named species",41,41,0,0,0
"Common chaffinch","Named species",8,8,0,0,0
"Common cuckoo","Named species",1,1,0,0,0
"Common eider","Named species",7,7,3,0,0.428571428571429
