"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE"
"Ground squirrels","Broad/ambiguous label",9,9,0,0,0
"Gulls, terns, kittiwakes","Broad/ambiguous label",6,6,0,0,0
"Hares","Broad/ambiguous label",10,10,0,0,0
"Hummingbirds","Broad/ambiguous label",30,30,0,0,0
"Ibises","Broad/ambiguous label",8,8,0,0,0
"Kites","Broad/ambiguous label",1,1,0,0,0
"Kites, eagles, hawks","Broad/ambiguous label",8,8,0,0,0
"Lapwings","Broad/ambiguous label",1,1,0,0,0
"Larks","Broad/ambiguous label",6,6,0,0,0
"Longspurs, snow buntings","Broad/ambiguous label",2,2,0,0,0
"Magpies","Broad/ambiguous label",1,1,0,0,0
"Munias","Broad/ambiguous label",119,119,0,0,0
"New World quail","Broad/ambiguous label",10,10,0,0,0
"New world rats","Broad/ambiguous label",2,2,0,0,0
"Nightjars","Broad/ambiguous label",32,32,0,0,0
"Noddies","Broad/ambiguous label",9,9,0,0,0
"Nuthatches","Broad/ambiguous label",1,1,0,0,0
"Old World warblers","Broad/ambiguous label",1,1,0,0,0
"Orioles","Broad/ambiguous label",6,6,0,0,0
"Parakeets","Broad/ambiguous label",2,2,0,0,0
"Parrots","Broad/ambiguous label",5,5,0,0,0
"Partridges","Broad/ambiguous label",3,3,0,0,0
"Peccaries","Broad/ambiguous label",1,1,0,0,0
"Perching birds (z)","Broad/ambiguous label",1,1,0,0,0
"Prairie dogs, marmots, squirrels","Broad/ambiguous label",2,2,0,0,0
"Rabbits","Broad/ambiguous label",80,80,0,0,0
"Reptiles","Broad/ambiguous label",1,1,0,0,0
"Shearwaters","Broad/ambiguous label",1,1,0,0,0
"Skunks","Broad/ambiguous label",11,11,0,0,0
"Snakes","Broad/ambiguous label",42,42,0,0,0
"Squirrels","Broad/ambiguous label",4,4,0,0,0
"Storm-petrels","Broad/ambiguous label",1,1,0,0,0
"Swift, tree-swifts, hummingbirds","Broad/ambiguous label",2,2,0,0,0
"Thrashers","Broad/ambiguous label",3,3,0,0,0
"Towhees","Broad/ambiguous label",1,1,0,0,0
"Turtles","Broad/ambiguous label",168,168,0,0,0
"Typical owls","Broad/ambiguous label",1,1,0,0,0
"Tyrant (New World) flycatchers","Broad/ambiguous label",60,60,0,0,0
"Vireos","Broad/ambiguous label",7,7,0,0,0
"Waxbills, mannikins, parrotfinches","Broad/ambiguous label",4,4,0,0,0
"Wilson/Common snipe complex","Broad/ambiguous label",1,1,0,0,0
