"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE","COUNT_RANK","RATE_RANK"
"Common box turtle","Named species",41,41,0,0,0,384,245
"Eastern bluebird","Named species",40,40,0,0,0,384,245
"MacGillivray's warbler","Named species",40,40,0,0,0,384,245
"Say's phoebe","Named species",40,40,0,0,0,384,245
"Townsend's warbler","Named species",40,40,0,0,0,384,245
"Mississippi kite","Named species",39,39,0,0,0,384,245
"Clay-colored sparrow","Named species",35,35,0,0,0,384,245
"Purple finch","Named species",35,35,0,0,0,384,245
"Prairie warbler","Named species",34,34,0,0,0,384,245
"Rusty blackbird","Named species",34,34,0,0,0,384,245
"Black noddy","Named species",32,32,0,0,0,384,245
"Black-capped chickadee","Named species",31,31,0,0,0,384,245
"Rufous hummingbird","Named species",31,31,0,0,0,384,245
"Acadian flycatcher","Named species",30,30,0,0,0,384,245
"Black drongo","Named species",30,30,0,0,0,384,245
"Bonin petrel","Named species",30,30,0,0,0,384,245
"Forster's tern","Named species",30,30,0,0,0,384,245
"White-eyed vireo","Named species",30,30,0,0,0,384,245
