"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE","COUNT_RANK"
"Upland sandpiper","Named species",470,470,11,0,0.0234042553191489,97
"Wilson's phalarope","Named species",38,38,11,0,0.289473684210526,97
"Red-throated loon","Named species",23,23,11,0,0.478260869565217,97
"Red-eyed vireo","Named species",573,573,10,0,0.0174520069808028,102
"Common grackle","Named species",408,408,10,0,0.0245098039215686,102
"American golden-plover","Named species",368,368,10,0,0.0271739130434783,102
"Western sandpiper","Named species",353,353,10,0,0.028328611898017,102
"Hoary bat","Named species",296,296,10,0,0.0337837837837838,102
"Red-shouldered hawk","Named species",151,151,10,0,0.0662251655629139,102
"Redhead","Named species",23,23,10,0,0.434782608695652,102
"Cliff swallow","Named species",3679,3679,9,0,0.00244631693394944,109
"Gray catbird","Named species",650,650,9,0,0.0138461538461538,109
"Dunlin","Named species",180,180,9,0,0.05,109
"Wood thrush","Named species",140,140,9,0,0.0642857142857143,109
"Veery","Named species",134,134,9,0,0.0671641791044776,109
"Bufflehead","Named species",46,46,9,0,0.195652173913043,109
"Eared grebe","Named species",38,38,9,0,0.236842105263158,109
"Lesser yellowlegs","Named species",36,36,9,0,0.25,109
"Magnificent frigatebird","Named species",16,16,9,0,0.5625,109
"Pronghorn","Named species",10,10,9,0,0.9,109
"Common nighthawk","Named species",1541,1541,8,0,0.00519143413367943,119
"Red-winged blackbird","Named species",914,914,8,0,0.0087527352297593,119
"Black-tailed jackrabbit","Named species",589,589,8,0,0.0135823429541596,119
"Northern harrier","Named species",243,243,8,0,0.0329218106995885,119
"Laysan albatross","Named species",37,37,8,0,0.216216216216216,119
"Black-bellied whistling-duck","Named species",32,32,8,0,0.25,119
"American bittern","Named species",30,30,8,0,0.266666666666667,119
"Hooded merganser","Named species",29,29,8,0,0.275862068965517,119
"White-throated swift","Named species",159,159,7,0,0.0440251572327044,127
"Western tanager","Named species",134,134,7,0,0.0522388059701493,127
"Short-billed gull","Named species",94,94,7,0,0.074468085106383,127
"Pied-billed grebe","Named species",69,69,7,0,0.101449275362319,127
"White-winged scoter","Named species",8,8,7,0,0.875,127
"Eastern red bat","Named species",919,919,6,0,0.00652883569096844,132
"House sparrow","Named species",670,670,6,0,0.00895522388059702,132
"Burrowing owl","Named species",533,533,6,0,0.0112570356472795,132
"Snow bunting","Named species",473,473,6,0,0.0126849894291755,132
"Red fox","Named species",322,322,6,0,0.0186335403726708,132
"Spotted dove","Named species",294,294,6,0,0.0204081632653061,132
"White-winged dove","Named species",200,200,6,0,0.03,132
"Fox sparrow","Named species",167,167,6,0,0.0359281437125748,132
"Snowy egret","Named species",68,68,6,0,0.0882352941176471,132
"Black-headed grosbeak","Named species",52,52,6,0,0.115384615384615,132
"Greater yellowlegs","Named species",46,46,6,0,0.130434782608696,132
"Mottled duck","Named species",41,41,6,0,0.146341463414634,132
"Horned grebe","Named species",28,28,6,0,0.214285714285714,132
"Short-billed dowitcher","Named species",28,28,6,0,0.214285714285714,132
"Common goldeneye","Named species",18,18,6,0,0.333333333333333,132
"Yellow-rumped warbler","Named species",982,982,5,0,0.00509164969450102,147
"Dark-eyed junco","Named species",580,580,5,0,0.00862068965517241,147
"Zebra dove","Named species",556,556,5,0,0.00899280575539568,147
"Raccoon","Named species",207,207,5,0,0.0241545893719807,147
"White-crowned sparrow","Named species",161,161,5,0,0.031055900621118,147
"Ferruginous hawk","Named species",78,78,5,0,0.0641025641025641,147
"Glaucous gull","Named species",49,49,5,0,0.102040816326531,147
"White ibis","Named species",48,48,5,0,0.104166666666667,147
"Yellow-headed blackbird","Named species",40,40,5,0,0.125,147
"Cinnamon teal","Named species",17,17,5,0,0.294117647058824,147
"Moose","Named species",6,6,5,0,0.833333333333333,147
"Western kingbird","Named species",668,668,4,0,0.00598802395209581,158
"Song sparrow","Named species",587,587,4,0,0.00681431005110733,158
"Brown-headed cowbird","Named species",558,558,4,0,0.00716845878136201,158
"Ovenbird","Named species",387,387,4,0,0.0103359173126615,158
"Chipping sparrow","Named species",307,307,4,0,0.0130293159609121,158
"Merlin","Named species",282,282,4,0,0.0141843971631206,158
"Semipalmated sandpiper","Named species",232,232,4,0,0.0172413793103448,158
"Grasshopper sparrow","Named species",209,209,4,0,0.0191387559808612,158
"Common myna","Named species",168,168,4,0,0.0238095238095238,158
"Scarlet tanager","Named species",123,123,4,0,0.032520325203252,158
"Gray-cheeked thrush","Named species",114,114,4,0,0.0350877192982456,158
"White-tailed kite","Named species",111,111,4,0,0.036036036036036,158
"Bonaparte's gull","Named species",95,95,4,0,0.0421052631578947,158
"Spotted sandpiper","Named species",69,69,4,0,0.0579710144927536,158
"Caspian tern","Named species",62,62,4,0,0.0645161290322581,158
"Gray partridge","Named species",48,48,4,0,0.0833333333333333,158
"Blue-billed white tern","Named species",38,38,4,0,0.105263157894737,158
"Red-necked phalarope","Named species",28,28,4,0,0.142857142857143,158
"Long-eared owl","Named species",27,27,4,0,0.148148148148148,158
"Greater scaup","Named species",25,25,4,0,0.16,158
"Red-breasted merganser","Named species",16,16,4,0,0.25,158
"Common merganser","Named species",15,15,4,0,0.266666666666667,158
"Great frigatebird","Named species",15,15,4,0,0.266666666666667,158
"Lesser black-backed gull","Named species",10,10,4,0,0.4,158
"Long-tailed duck","Named species",8,8,4,0,0.5,158
"Black kite","Named species",6,6,4,0,0.666666666666667,158
"Horse","Named species",5,5,4,0,0.8,158
"Bank swallow","Named species",963,963,3,0,0.00311526479750779,185
"Common yellowthroat","Named species",430,430,3,0,0.00697674418604651,185
"Least sandpiper","Named species",354,354,3,0,0.00847457627118644,185
"Swamp sparrow","Named species",277,277,3,0,0.0108303249097473,185
"Lincoln's sparrow","Named species",273,273,3,0,0.010989010989011,185
"Eastern cottontail","Named species",240,240,3,0,0.0125,185
"Northern mockingbird","Named species",233,233,3,0,0.0128755364806867,185
"Woodchuck","Named species",220,220,3,0,0.0136363636363636,185
"Black-and-white warbler","Named species",153,153,3,0,0.0196078431372549,185
"Eurasian collared dove","Named species",121,121,3,0,0.0247933884297521,185
"Great-tailed grackle","Named species",115,115,3,0,0.0260869565217391,185
