"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE","COUNT_RANK"
"Willow flycatcher","Named species",29,29,0,0,0,384
"Northern yellow bat","Named species",28,28,0,0,0,384
"Black-necked stilt","Named species",26,26,0,0,0,384
"Gray bat","Named species",26,26,0,0,0,384
"Golden-crowned sparrow","Named species",25,25,0,0,0,384
"Alder flycatcher","Named species",24,24,0,0,0,384
"Anna's hummingbird","Named species",24,24,0,0,0,384
"Redpoll","Named species",23,23,0,0,0,384
"Budgerigar","Named species",22,22,0,0,0,384
"Common pauraque","Named species",22,22,0,0,0,384
"Summer tanager","Named species",22,22,0,0,0,384
"Eastern whip-poor-will","Named species",21,21,0,0,0,384
"Gunnison's prairie dog","Named species",21,21,0,0,0,384
"Common waxbill","Named species",20,20,0,0,0,384
"Kentucky warbler","Named species",20,20,0,0,0,384
"Lazuli bunting","Named species",19,19,0,0,0,384
"Northern cardinal","Named species",19,19,0,0,0,384
"Red-bellied woodpecker","Named species",19,19,0,0,0,384
"Brown noddy","Named species",18,18,0,0,0,384
"Clapper rail","Named species",18,18,0,0,0,384
"Mourning warbler","Named species",18,18,0,0,0,384
"Antillean nighthawk","Named species",17,17,0,0,0,384
"Downy woodpecker","Named species",17,17,0,0,0,384
"Hawaiian duck","Named species",17,17,0,0,0,384
"Philippine collared dove","Named species",17,17,0,0,0,384
"Western wood-pewee","Named species",17,17,0,0,0,384
"Antillean palm swift","Named species",16,16,0,0,0,384
"Black-throated sparrow","Named species",16,16,0,0,0,384
"Inca dove","Named species",16,16,0,0,0,384
"Rock wren","Named species",16,16,0,0,0,384
"Black tern","Named species",15,15,0,0,0,384
"Chestnut-collared longspur","Named species",15,15,0,0,0,384
"Lesser goldfinch","Named species",15,15,0,0,0,384
"Painted bunting","Named species",15,15,0,0,0,384
"Sprague's pipit","Named species",15,15,0,0,0,384
"Black-headed gull","Named species",14,14,0,0,0,384
"California ground squirrel","Named species",14,14,0,0,0,384
"Common garter snake","Named species",14,14,0,0,0,384
"Pacific wren","Named species",14,14,0,0,0,384
"Pond slider","Named species",14,14,0,0,0,384
"Spotted towhee","Named species",14,14,0,0,0,384
"Black-throated gray warbler","Named species",13,13,0,0,0,384
"LeConte's sparrow","Named species",13,13,0,0,0,384
"Saffron finch","Named species",13,13,0,0,0,384
"Small Indian mongoose","Named species",13,13,0,0,0,384
"Bullock's oriole","Named species",12,12,0,0,0,384
"Long-billed thrasher","Named species",12,12,0,0,0,384
"Red-breasted nuthatch","Named species",12,12,0,0,0,384
"Richardson's ground squirrel","Named species",12,12,0,0,0,384
"Yellow-throated vireo","Named species",12,12,0,0,0,384
"Newell's shearwater","Named species",11,11,0,0,0,384
"Red avadavat","Named species",11,11,0,0,0,384
"Sage thrasher","Named species",11,11,0,0,0,384
"Tricolored heron","Named species",11,11,0,0,0,384
"Black francolin","Named species",10,10,0,0,0,384
"Black phoebe","Named species",10,10,0,0,0,384
"Brown creeper","Named species",10,10,0,0,0,384
"Cassin's sparrow","Named species",10,10,0,0,0,384
"Cassin's vireo","Named species",10,10,0,0,0,384
"Pallas's mastiff bat","Named species",10,10,0,0,0,384
"Smith's longspur","Named species",10,10,0,0,0,384
"Black swift","Named species",9,9,0,0,0,384
"Connecticut warbler","Named species",9,9,0,0,0,384
"Dusky flycatcher","Named species",9,9,0,0,0,384
"Eastern rat snake","Named species",9,9,0,0,0,384
"Harris's sparrow","Named species",9,9,0,0,0,384
"Nelson's sparrow","Named species",9,9,0,0,0,384
"Plains garter snake","Named species",9,9,0,0,0,384
"Prothonotary warbler","Named species",9,9,0,0,0,384
"Yellow-billed magpie","Named species",9,9,0,0,0,384
"African silverbill","Named species",8,8,0,0,0,384
"American badger","Named species",8,8,0,0,0,384
"Baird's sparrow","Named species",8,8,0,0,0,384
"Black-chinned hummingbird","Named species",8,8,0,0,0,384
"Common chaffinch","Named species",8,8,0,0,0,384
"Gull-billed tern","Named species",8,8,0,0,0,384
"Hermit warbler","Named species",8,8,0,0,0,384
"Indiana bat","Named species",8,8,0,0,0,384
"Lined snake","Named species",8,8,0,0,0,384
"Mountain chickadee","Named species",8,8,0,0,0,384
"Olive-sided flycatcher","Named species",8,8,0,0,0,384
"Red-crested cardinal","Named species",8,8,0,0,0,384
"Red-vented bulbul","Named species",8,8,0,0,0,384
"Snowy plover","Named species",8,8,0,0,0,384
"Thick-billed longspur","Named species",8,8,0,0,0,384
"American mink","Named species",7,7,0,0,0,384
"Bell's sparrow","Named species",7,7,0,0,0,384
"Cactus wren","Named species",7,7,0,0,0,384
"Greater roadrunner","Named species",7,7,0,0,0,384
"Hooded oriole","Named species",7,7,0,0,0,384
"Long-tailed jaeger","Named species",7,7,0,0,0,384
"Nanday parakeet","Named species",7,7,0,0,0,384
"Red phalarope","Named species",7,7,0,0,0,384
"Red-masked parakeet","Named species",7,7,0,0,0,384
"Wilson's plover","Named species",7,7,0,0,0,384
"Common gull","Named species",6,6,0,0,0,384
"Fish crow","Named species",6,6,0,0,0,384
"Gray flycatcher","Named species",6,6,0,0,0,384
"Harris's hawk","Named species",6,6,0,0,0,384
"Sandwich tern","Named species",6,6,0,0,0,384
"Scaled quail","Named species",6,6,0,0,0,384
"Western rat snake","Named species",6,6,0,0,0,384
"White-tailed prairie dog","Named species",6,6,0,0,0,384
"Yellow-bellied marmot","Named species",6,6,0,0,0,384
"American goshawk","Named species",5,5,0,0,0,384
"Common kingsnake","Named species",5,5,0,0,0,384
"Costa's hummingbird","Named species",5,5,0,0,0,384
"Indian pipistrelle","Named species",5,5,0,0,0,384
"Indian silverbill","Named species",5,5,0,0,0,384
"King rail","Named species",5,5,0,0,0,384
"Monk parakeet","Named species",5,5,0,0,0,384
"Red knot","Named species",5,5,0,0,0,384
"Reddish egret","Named species",5,5,0,0,0,384
"Western diamondback rattlesnake","Named species",5,5,0,0,0,384
"Western pipistrelle","Named species",5,5,0,0,0,384
"White-breasted nuthatch","Named species",5,5,0,0,0,384
"Yellow-fronted canary","Named species",5,5,0,0,0,384
"African collared dove","Named species",4,4,0,0,0,384
"Barrow's goldeneye","Named species",4,4,0,0,0,384
"Bewick's wren","Named species",4,4,0,0,0,384
"Big free-tailed bat","Named species",4,4,0,0,0,384
"Brown-crested flycatcher","Named species",4,4,0,0,0,384
"Carolina chickadee","Named species",4,4,0,0,0,384
"Chukar","Named species",4,4,0,0,0,384
"Coastal plain cooter","Named species",4,4,0,0,0,384
"Eared dove","Named species",4,4,0,0,0,384
"Egyptian free-tailed bat","Named species",4,4,0,0,0,384
"Elegant tern","Named species",4,4,0,0,0,384
"Japanese white-eye","Named species",4,4,0,0,0,384
"Kit fox","Named species",4,4,0,0,0,384
"North American beaver","Named species",4,4,0,0,0,384
"Northern water snake","Named species",4,4,0,0,0,384
"Pocketed free-tailed bat","Named species",4,4,0,0,0,384
"Red-breasted sapsucker","Named species",4,4,0,0,0,384
"Red-footed booby","Named species",4,4,0,0,0,384
"Ruffed grouse","Named species",4,4,0,0,0,384
"Sagebrush sparrow","Named species",4,4,0,0,0,384
"Tropical kingbird","Named species",4,4,0,0,0,384
"Tufted titmouse","Named species",4,4,0,0,0,384
"Western small-footed myotis","Named species",4,4,0,0,0,384
"Allen's hummingbird","Named species",3,3,0,0,0,384
"Alligator snapping turtle","Named species",3,3,0,0,0,384
"American black bear","Named species",3,3,0,0,0,384
"Black-legged kittiwake","Named species",3,3,0,0,0,384
"Blue-and-white swallow","Named species",3,3,0,0,0,384
"Blue-winged warbler","Named species",3,3,0,0,0,384
"Bohemian waxwing","Named species",3,3,0,0,0,384
"Brown booby","Named species",3,3,0,0,0,384
"California myotis","Named species",3,3,0,0,0,384
"California towhee","Named species",3,3,0,0,0,384
"Calliope hummingbird","Named species",3,3,0,0,0,384
"Cape serotine","Named species",3,3,0,0,0,384
"Clark's grebe","Named species",3,3,0,0,0,384
"Common snipe","Named species",3,3,0,0,0,384
"Corn snake","Named species",3,3,0,0,0,384
"Couch's kingbird","Named species",3,3,0,0,0,384
"Coypu (nutria)","Named species",3,3,0,0,0,384
"Eastern gray squirrel","Named species",3,3,0,0,0,384
"Florida red-bellied cooter","Named species",3,3,0,0,0,384
"Gray-breasted martin","Named species",3,3,0,0,0,384
"Great kiskadee","Named species",3,3,0,0,0,384
"Hairy woodpecker","Named species",3,3,0,0,0,384
"Jamaican fruit bat","Named species",3,3,0,0,0,384
"Kentish plover","Named species",3,3,0,0,0,384
"Limpkin","Named species",3,3,0,0,0,384
"Long-legged myotis","Named species",3,3,0,0,0,384
"Nacunda nighthawk","Named species",3,3,0,0,0,384
"Neotropic cormorant","Named species",3,3,0,0,0,384
"Northern shrike","Named species",3,3,0,0,0,384
"Olive sparrow","Named species",3,3,0,0,0,384
"Parasitic jaeger","Named species",3,3,0,0,0,384
"Prairie rattlesnake","Named species",3,3,0,0,0,384
"Seaside sparrow","Named species",3,3,0,0,0,384
"Song thrush","Named species",3,3,0,0,0,384
"Striped mud turtle","Named species",3,3,0,0,0,384
"Swainson's warbler","Named species",3,3,0,0,0,384
"Tricolored blackbird","Named species",3,3,0,0,0,384
"Western screech-owl","Named species",3,3,0,0,0,384
"Whiskered tern","Named species",3,3,0,0,0,384
"Yellow rail","Named species",3,3,0,0,0,384
"Yuma myotis","Named species",3,3,0,0,0,384
"Antelope jackrabbit","Named species",2,2,0,0,0,384
"Bare-eyed pigeon","Named species",2,2,0,0,0,384
"Bicknell's thrush","Named species",2,2,0,0,0,384
"Black turnstone","Named species",2,2,0,0,0,384
"Blue-crowned parakeet","Named species",2,2,0,0,0,384
"Bushtit","Named species",2,2,0,0,0,384
"California kingsnake","Named species",2,2,0,0,0,384
"Canada jay","Named species",2,2,0,0,0,384
"Checkered garter snake","Named species",2,2,0,0,0,384
"Common pipistrelle","Named species",2,2,0,0,0,384
"Curve-billed thrasher","Named species",2,2,0,0,0,384
"DeKay's brown snake","Named species",2,2,0,0,0,384
"Diamondback water snake","Named species",2,2,0,0,0,384
"Eastern diamondback rattlesnake","Named species",2,2,0,0,0,384
"Eastern mud turtle","Named species",2,2,0,0,0,384
"Eastern small-footed myotis","Named species",2,2,0,0,0,384
"Egyptian goose","Named species",2,2,0,0,0,384
"Eurasian coot","Named species",2,2,0,0,0,384
"Florida bonneted bat","Named species",2,2,0,0,0,384
"Fork-tailed storm-petrel","Named species",2,2,0,0,0,384
"Golden-winged warbler","Named species",2,2,0,0,0,384
"Gray sac-winged bat","Named species",2,2,0,0,0,384
"Gray-crowned rosy-finch","Named species",2,2,0,0,0,384
"Greater Antillean grackle","Named species",2,2,0,0,0,384
"Gyrfalcon","Named species",2,2,0,0,0,384
"Java sparrow","Named species",2,2,0,0,0,384
"Kirtland's warbler","Named species",2,2,0,0,0,384
"Lawrence's goldfinch","Named species",2,2,0,0,0,384
"Lawrence's warbler","Named species",2,2,0,0,0,384
"Least weasel","Named species",2,2,0,0,0,384
"Long-eared myotis","Named species",2,2,0,0,0,384
"Long-tailed weasel","Named species",2,2,0,0,0,384
"Milk snake","Named species",2,2,0,0,0,384
"Morelet's seedeater","Named species",2,2,0,0,0,384
"Northern hawk owl","Named species",2,2,0,0,0,384
"Olive-backed pipit","Named species",2,2,0,0,0,384
"Oriental plover","Named species",2,2,0,0,0,384
"Oriental turtle dove","Named species",2,2,0,0,0,384
"Ornate box turtle","Named species",2,2,0,0,0,384
"Pallid swift","Named species",2,2,0,0,0,384
"Pelagic cormorant","Named species",2,2,0,0,0,384
"Pin-tailed snipe","Named species",2,2,0,0,0,384
"Purple sandpiper","Named species",2,2,0,0,0,384
"Red-crowned amazon","Named species",2,2,0,0,0,384
"Redwing","Named species",2,2,0,0,0,384
"Rock sandpiper","Named species",2,2,0,0,0,384
"Rook","Named species",2,2,0,0,0,384
"Ross's goose","Named species",2,2,0,0,0,384
"Rufous-tailed robin","Named species",2,2,0,0,0,384
"Sabine's gull","Named species",2,2,0,0,0,384
"Snowshoe hare","Named species",2,2,0,0,0,384
"Southeastern myotis","Named species",2,2,0,0,0,384
"Spiny softshell turtle","Named species",2,2,0,0,0,384
"Spotted bat","Named species",2,2,0,0,0,384
"Spruce grouse","Named species",2,2,0,0,0,384
"Thick-billed kingbird","Named species",2,2,0,0,0,384
"Thirteen-lined ground squirrel","Named species",2,2,0,0,0,384
"Wagner's bonneted bat","Named species",2,2,0,0,0,384
"Water moccasin","Named species",2,2,0,0,0,384
"Western house-martin","Named species",2,2,0,0,0,384
"Western ribbon snake","Named species",2,2,0,0,0,384
"Western yellow bat","Named species",2,2,0,0,0,384
"White-winged tern","Named species",2,2,0,0,0,384
"African yellow bat","Named species",1,1,0,0,0,384
"Alpine swift","Named species",1,1,0,0,0,384
"Alvarez<U+2019>s mastiff bat","Named species",1,1,0,0,0,384
"American red squirrel","Named species",1,1,0,0,0,384
"Angolan free-tailed bat","Named species",1,1,0,0,0,384
"Antillean fruit-eating bat","Named species",1,1,0,0,0,384
"Axis deer","Named species",1,1,0,0,0,384
"Band-rumped storm-petrel","Named species",1,1,0,0,0,384
"Bar-tailed godwit","Named species",1,1,0,0,0,384
"Bearded seal","Named species",1,1,0,0,0,384
"Bell's vireo","Named species",1,1,0,0,0,384
"Black redstart","Named species",1,1,0,0,0,384
"Black-crowned sparrow lark","Named species",1,1,0,0,0,384
"Black-faced bunting","Named species",1,1,0,0,0,384
"Blue-black grassquit","Named species",1,1,0,0,0,384
"Blue-tailed bee-eater","Named species",1,1,0,0,0,384
"Bluethroat","Named species",1,1,0,0,0,384
"Botta's pocket gopher","Named species",1,1,0,0,0,384
"Broad-eared bat","Named species",1,1,0,0,0,384
"Broad-tailed hummingbird","Named species",1,1,0,0,0,384
"Bronze mannikin","Named species",1,1,0,0,0,384
"Brown flower bat","Named species",1,1,0,0,0,384
"Brown-throated parakeet","Named species",1,1,0,0,0,384
"Brush rabbit","Named species",1,1,0,0,0,384
"California quail","Named species",1,1,0,0,0,384
"Caribbean martin","Named species",1,1,0,0,0,384
"Cerulean warbler","Named species",1,1,0,0,0,384
"Chicken turtle","Named species",1,1,0,0,0,384
"Chihuahuan meadowlark","Named species",1,1,0,0,0,384
"Clark's nutcracker","Named species",1,1,0,0,0,384
"Collared plover","Named species",1,1,0,0,0,384
"Common cuckoo","Named species",1,1,0,0,0,384
"Common murre","Named species",1,1,0,0,0,384
"Common ringed plover","Named species",1,1,0,0,0,384
"Corn crake","Named species",1,1,0,0,0,384
"Cuban flower bat","Named species",1,1,0,0,0,384
"Dusky thrush","Named species",1,1,0,0,0,384
"Eastern barn owl","Named species",1,1,0,0,0,384
"Eastern hognose snake","Named species",1,1,0,0,0,384
"Eastern pine snake","Named species",1,1,0,0,0,384
"Eastern racer","Named species",1,1,0,0,0,384
"Eurasian siskin","Named species",1,1,0,0,0,384
"European golden-plover","Named species",1,1,0,0,0,384
"European goldfinch","Named species",1,1,0,0,0,384
"European robin","Named species",1,1,0,0,0,384
"Fox squirrel","Named species",1,1,0,0,0,384
"Fringed myotis","Named species",1,1,0,0,0,384
"Garden warbler","Named species",1,1,0,0,0,384
"Golden-fronted woodpecker","Named species",1,1,0,0,0,384
"Gray vireo","Named species",1,1,0,0,0,384
"Gray-headed chickadee","Named species",1,1,0,0,0,384
"Gray-tailed tattler","Named species",1,1,0,0,0,384
"Great crested grebe","Named species",1,1,0,0,0,384
"Greater prairie chicken","Named species",1,1,0,0,0,384
"Greenish warbler","Named species",1,1,0,0,0,384
"Grey-headed flying fox","Named species",1,1,0,0,0,384
"Harlequin duck","Named species",1,1,0,0,0,384
"Hawaiian petrel","Named species",1,1,0,0,0,384
"Heermann's gull","Named species",1,1,0,0,0,384
"Hispaniolan mastiff bat","Named species",1,1,0,0,0,384
"Horned puffin","Named species",1,1,0,0,0,384
"Hume's short-toed lark","Named species",1,1,0,0,0,384
"Island canary","Named species",1,1,0,0,0,384
"Kelaart's pipistrelle","Named species",1,1,0,0,0,384
"Kuhl's pipistrelle","Named species",1,1,0,0,0,384
"Lanceolated warbler","Named species",1,1,0,0,0,384
"Leschenault's rousette","Named species",1,1,0,0,0,384
"Lesser bulldog bat","Named species",1,1,0,0,0,384
"Lesser whitethroat","Named species",1,1,0,0,0,384
"Lilac-crowned parrot","Named species",1,1,0,0,0,384
"Little owl","Named species",1,1,0,0,0,384
"Little red flying fox","Named species",1,1,0,0,0,384
"Little swift","Named species",1,1,0,0,0,384
"Little tern","Named species",1,1,0,0,0,384
"Loggerhead kingbird","Named species",1,1,0,0,0,384
"Marbled murrelet","Named species",1,1,0,0,0,384
"Mariana kingfisher","Named species",1,1,0,0,0,384
"Marsh rabbit","Named species",1,1,0,0,0,384
"Mauritian tomb bat","Named species",1,1,0,0,0,384
"McKay's bunting","Named species",1,1,0,0,0,384
"Medium egret","Named species",1,1,0,0,0,384
"Mitred parakeet","Named species",1,1,0,0,0,384
"Mohave rattlesnake","Named species",1,1,0,0,0,384
"Mountain cottontail","Named species",1,1,0,0,0,384
"Mugimaki flycatcher","Named species",1,1,0,0,0,384
"Naked-rumped tomb bat","Named species",1,1,0,0,0,384
"Northern fulmar","Named species",1,1,0,0,0,384
"Northern gannet","Named species",1,1,0,0,0,384
"Northern map turtle","Named species",1,1,0,0,0,384
"Northern pygmy-owl","Named species",1,1,0,0,0,384
"Olivaceous elaenia","Named species",1,1,0,0,0,384
"Olive-throated parakeet","Named species",1,1,0,0,0,384
"Pacific flying fox","Named species",1,1,0,0,0,384
"Pallas's long-tongued bat","Named species",1,1,0,0,0,384
"Pearly-eyed thrasher","Named species",1,1,0,0,0,384
"Peters's short-nosed fruit bat","Named species",1,1,0,0,0,384
"Picazuro pigeon","Named species",1,1,0,0,0,384
"Pigeon guillemot","Named species",1,1,0,0,0,384
"Pileated woodpecker","Named species",1,1,0,0,0,384
"Pine grosbeak","Named species",1,1,0,0,0,384
"Piute ground squirrel","Named species",1,1,0,0,0,384
"Pygmy nuthatch","Named species",1,1,0,0,0,384
"Rainbow lorikeet","Named species",1,1,0,0,0,384
"Red-billed pigeon","Named species",1,1,0,0,0,384
"Red-headed woodpecker","Named species",1,1,0,0,0,384
"Red-legged kittiwake","Named species",1,1,0,0,0,384
"Red-legged partridge","Named species",1,1,0,0,0,384
"Red-necked stint","Named species",1,1,0,0,0,384
"Red-wattled lapwing","Named species",1,1,0,0,0,384
"River cooter","Named species",1,1,0,0,0,384
"Rose-ringed parakeet","Named species",1,1,0,0,0,384
"Roseate tern","Named species",1,1,0,0,0,384
"Ruddy ground dove","Named species",1,1,0,0,0,384
"Rufous-necked wood rail","Named species",1,1,0,0,0,384
"Sharp-tailed sandpiper","Named species",1,1,0,0,0,384
"Siberian sand-plover","Named species",1,1,0,0,0,384
"Sinaloan mastiff bat","Named species",1,1,0,0,0,384
"Sooty mustached bat","Named species",1,1,0,0,0,384
"South American snipe","Named species",1,1,0,0,0,384
"Speckled pigeon","Named species",1,1,0,0,0,384
"Spectacled caiman","Named species",1,1,0,0,0,384
"Spotted flycatcher","Named species",1,1,0,0,0,384
"Texas blind snake","Named species",1,1,0,0,0,384
"Tree pipit","Named species",1,1,0,0,0,384
"Tropical mockingbird","Named species",1,1,0,0,0,384
"Vermilion Flycatcher","Named species",1,1,0,0,0,384
"Virginia's warbler","Named species",1,1,0,0,0,384
"Western fox snake","Named species",1,1,0,0,0,384
"Western hognose snake","Named species",1,1,0,0,0,384
"Western marsh harrier","Named species",1,1,0,0,0,384
"Western red bat","Named species",1,1,0,0,0,384
"White's thrush","Named species",1,1,0,0,0,384
"White-nosed coati","Named species",1,1,0,0,0,384
"White-tufted grebe","Named species",1,1,0,0,0,384
"White-winged swallow","Named species",1,1,0,0,0,384
"Wood sandpiper","Named species",1,1,0,0,0,384
"Wrentit","Named species",1,1,0,0,0,384
"Yellow-browed warbler","Named species",1,1,0,0,0,384
"Yellow-chevroned parakeet","Named species",1,1,0,0,0,384
"Yellow-headed caracara","Named species",1,1,0,0,0,384
