"SPECIES","SPECIES_GROUP","REVIEW_STATUS"
"Black turnstone","Shorebirds","Reviewed 2026-09-18"
"Black vulture","Raptors","Existing assignment; not fully audited"
"Black-and-white warbler","Perching birds","Existing assignment; not fully audited"
"Black-bearded tomb bat","Bats","Existing assignment; not fully audited"
"Black-bellied plover","Shorebirds","Existing assignment; not fully audited"
"Black-bellied whistling-duck","Waterfowl","Existing assignment; not fully audited"
"Black-billed cuckoo","Other birds","Existing assignment; not fully audited"
"Black-billed magpie","Corvids","Existing assignment; not fully audited"
"Black-capped chickadee","Perching birds","Existing assignment; not fully audited"
"Black-chinned hummingbird","Other birds","Existing assignment; not fully audited"
"Black-chinned sparrow","Perching birds","Existing assignment; not fully audited"
"Black-crowned night heron","Wading birds","Existing assignment; not fully audited"
"Black-crowned sparrow lark","Perching birds","Existing assignment; not fully audited"
"Black-faced bunting","Perching birds","Existing assignment; not fully audited"
"Black-footed albatross","Seabirds","Existing assignment; not fully audited"
"Black-headed grosbeak","Perching birds","Existing assignment; not fully audited"
"Black-headed gull","Gulls & terns","Existing assignment; not fully audited"
"Black-headed gull complex","Gulls & terns","Existing assignment; not fully audited"
"Black-legged kittiwake","Gulls & terns","Existing assignment; not fully audited"
"Black-necked stilt","Shorebirds","Existing assignment; not fully audited"
"Black-tailed jackrabbit","Other mammals","Existing assignment; not fully audited"
"Black-tailed prairie dog","Other mammals","Existing assignment; not fully audited"
"Black-throated blue warbler","Perching birds","Existing assignment; not fully audited"
"Black-throated gray warbler","Perching birds","Existing assignment; not fully audited"
"Black-throated green warbler","Perching birds","Existing assignment; not fully audited"
"Black-throated sparrow","Perching birds","Existing assignment; not fully audited"
"Blackbirds","Perching birds","Existing assignment; not fully audited"
"Blackbirds, meadowlarks, orioles","Perching birds","Existing assignment; not fully audited"
"Blackburnian warbler","Perching birds","Existing assignment; not fully audited"
"Blackpoll warbler","Perching birds","Existing assignment; not fully audited"
"Blue grosbeak","Perching birds","Existing assignment; not fully audited"
"Blue jay","Corvids","Existing assignment; not fully audited"
"Blue-and-white swallow","Perching birds","Existing assignment; not fully audited"
"Blue-billed white tern","Gulls & terns","Existing assignment; not fully audited"
"Blue-black grassquit","Perching birds","Reviewed 2026-09-18"
"Blue-crowned parakeet","Other birds","Reviewed 2026-09-18"
"Blue-gray gnatcatcher","Perching birds","Reviewed 2026-09-18"
"Blue-headed vireo","Perching birds","Existing assignment; not fully audited"
